제작비,홍보광고비,총제작비,영화명
,,,드레스메이커
,,,번개맨
,,,데드풀
42.0,25.0,67.0,좋아해줘
,,,주토피아
5.0,6.0,11.0,동주
,,,대니쉬 걸
,,,빌리와 용감한 녀석들: 치킨 히어로
25.0,12.0,37.0,귀향
28.0,15.0,43.0,순정
,,,스포트라이트
45.0,21.0,66.0,남과 여
,,,제 5침공
,,,바다 탐험대 옥토넛 시즌4
,,,레터스 투 갓
,,,갓 오브 이집트
,,,13시간
,,,룸
30.0,16.0,46.0,널 기다리며
,,,런던 해즈 폴른
,,,조이
,,,엽문3: 최후의 대결
,,,오 마이 그랜파
,,,스푹스: MI5
,,,부활
,,,일사각오
,,,배트맨 대 슈퍼맨: 저스티스의 시작
2.8,3.7,6.5,글로리데이
,,,"헤일, 시저!"
,,,대배우
,,,미스컨덕트
,,,마음이 외치고 싶어해
,,,포레스트: 죽음의 숲
,,,나의 그리스식 웨딩2
12.0,10.0,22.0,"날, 보러와요"
,,,독수리 에디
,,,클로버필드 10번지
,,,트럼보
,,,33
,,,신은 죽지 않았다2
65.0,25.0,90.0,시간이탈자
72.0,25.0,100.0,해어화
,,,헌츠맨: 윈터스 워
,,,극장판 프랭키와 친구들: 생명의 나무
6.0,1.5,7.5,4등
4.0,10.0,15.0,위대한 소원
,,,파라노말 액티비티: 더 고스트 디멘션
,,,트리플9
,,,브루클린
,,,캡틴 아메리카 : 시빌 워
70.0,30.0,100.0,탐정 홍길동: 사라진 마을
,,,극장판 안녕 자두야
,,,매직브러시
,,,다이노소어 어드벤쳐: 백악기 공룡대백과
,,,다이노X 탐험대
75.0,25.0,100.0,곡성
56.0,13.0,69.0,엽기적인 그녀2
,,,다이버전트 시리즈: 얼리전트
,,,나의 소녀시대
,,,앵그리버드 더 무비
,,,싱 스트리트
30.0,15.0,45.0,계춘할망
,,,제3의 사랑
,,,하드코어 헨리
,37.0,37.0,엑스맨: 아포칼립스
120.0,30.0,150.0,아가씨
7.0,8.0,15.0,무서운 이야기 3: 화성에서 온 소녀
,,,미 비포 유
,,,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조 대작전
,,,플래그 더 문
,30.0,30.0,워크래프트: 전쟁의서막
,20.0,20.0,정글북
,10.0,10.0,컨저링2
44.0,28.0,72.0,특별수사: 사형수의 편지
,,,닌자터틀: 어둠의 히어로
,35.0,35.0,인디펜던스데이: 리써전스
45.0,25.0,70.0,비밀은 없다
31.0,22.0,53.0,굿바이 싱글
34.0,17.0,51.0,사냥
,25.0,25.0,레전드 오브 타잔
66.0,30.0,96.0,봉이 김선달
,23.0,23.0,도리를 찾아서
,,,잔예 - 살아서는 안되는 방
,,,나우 유 씨 미2
,,,데몰리션
,,,나의 산티아고
,,,트릭
,12.0,12.0,언더 워터
87.0,30.0,117.0,부산행
,,,아이스 에이지: 지구대충돌
,,,극장판 요괴워치: 염라대왕과 5가지 이야기다냥
,,,제이슨 본
144.0,40.0,184.0,인천상륙작전
,,,빅
,,,태풍이 지나가고
80.0,27.5,107.5,덕혜옹주
,,,마이펫의 이중생활
,,,명탐정 코난: 순흑의 악몽
,28.0,28.0,수어사이드 스쿼드
77.0,25.0,102.0,터널
60.0,30.0,90.0,국가대표2
,,,마이 리틀 자이언트
,,,슈퍼프렌즈
,,,갤럭시 히어로즈: 라쳇 앤 클랭크
,27.0,27.0,스타트랙 비욘드
6.0,2.0,8.0,서울역
,,,라이트 아웃
,,,플로렌스
,,,고스트 버스터즈
20.0,10.0,30.0,올레
,,,머니 몬스터
,,,메카닉: 리크루트
,,,이퀄스
,,,그랜드 파더
110.0,30.0,140.0,밀정
94.0,30.0,124.0,"고산자, 대동여지도"
,18.0,18.0,거울나라의 앨리스
,,,달빛궁궐
,,,로빈슨 크루소
,,,드림쏭
,22.0,22.0,매그니피센트7
,23.0,23.0,벤허
,,,카페 소사이어티
15.0,10.0,25.0,대결
,28.0,28.0,미스 페레그린과 이상한 아이들의 집
,,,설리: 허드슨 강의 기적
90.0,30.0,120.0,아수라
,,,피터와 드래곤
1.5,2.0,3.5,그물
,15.0,15.0,맨 인 더 다크
,,,죽여주는 여자
40.5,23.0,63.5,럭키
,,,바스티유데이
,,,어카운턴트
,,,자백
,,,노트북(재)
,25.0,25.0,인페르노
,,,걷기왕
,,,"무현, 두 도시 이야기"
11.5,5.0,16.5,혼숨
,30.0,30.0,닥터 스트레인지
,,,쿠보와 전설의 악기
,,,로스트 인 더스트
,,,무한대를 본 남자
,,,선생님의 일기
30.0,23.0,53.0,스플릿
,,,위자: 저주의 시작
,,,세상에서 고양이가 사라진다면
,,,감바의 대모험
55.0,23.0,78.0,가려진 시간
,,,신비한 동물사전
38.0,28.0,66.0,형
,,,블레어위치
,,,리틀메딕: 몸 속 탐험대
,,,잭리쳐: 네버 고 백
30.0,20.0,50.0,미씽: 사라진 여자
7.0,7.0,14.0,두 남자
,,,언더월드: 블러드 워
125.0,30.0,155.0,판도라
,,,라라랜드
,,,아기배달부 스토크
,,,원피스 필름 골드
,,,"나, 다니엘 블레이크"
50.0,25.0,75.0,"당신, 거기 있어줄래요"
34.0,14.0,48.0,목숨 건 연애
,,,스노우 타임
100.0,30.0,130.0,마스터
,,,씽
,,,극장판 도라에몽: 신 진구의 버스 오브 재팬
,,,에곤 쉴레: 욕망이 그린 그림
,,,포켓몬 더 무비 XY&Z
,,,로그 원: 스타워즈 스토리
,,,루돌프와 많이 있어
38.0,23.0,61.0,사랑하기 때문에
,,,너의 이름은.
,,,눈의 여왕3: 눈과 불의 마법대결
13.0,10.0,23.0,여교사
,35.0,35.0,패신저스
,20.0,20.0,모아나
,,,너브
,30.0,30.0,어쌔씬 크리드
,17.0,17.0,얼라이드
,,,터닝 메카드W: 블랙미러의 부활
83.0,25.0,108.0,공조
104.0,30.0,134.0,더 킹
,,,레지던트 이블 6: 파멸의 날
,,,딥 워터 호라이즌
,,,짱구는 못말려: 폭풍수면! 꿈꾸는 세계 대돌격
,,,재키
,,,컨택트
,,,명탐정 코난: 에피소드 원 작아진 명탐정
,,,트리플 엑스 리턴즈
,,,스노든
,,,50가지 그림자: 심연
,,,레고 배트맨 무비
,,,발레리나
85.0,35.0,120.0,조작된 도시
30.0,20.0,50.0,"그래, 가족"
,,,그레이트 월
35.0,21.0,56.0,재심
,,,더 큐어
,,,마이펫 오지
,,,맨체스터 바이 더 씨
,,,트롤
,,,헥소 고지
,,,문라이트
25.0,20.0,45.0,싱글라이더
47.0,25.0,72.0,루시드 드림
,,,23아이덴티티
,,,존 윅-리로드
,,,사일런스
,,,해빙
,,,로건
,,,콩: 스컬 아일랜드
,,,미녀와 야수
,,,비정규직 특수요원
,,,스페이스 비트윈 어스
,,,프리즌
,,,히든 피겨스
,,,보통 사람
,,,골드
,,,밤의 해변에서 혼자
,,,공각기동대: 고스트 인 더 쉘
,,,원라인
,,,미스 슬로운
,,,데스노트: 더 뉴 월드
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
